Unnamed: 0,url,Title,author,num_reviews,num_ratings,avg_rating,Nº pages,Publication_year,Series,genres,Awards,places,Rating,mean_norm_rating
41.0,https://www.goodreads.com/book/show/481750.The_Soong_Sisters,The Soong Sisters,Emily Hahn,13,122,3.58,320,2003,0,History;Cultural;China;Biography;Nonfiction;Cultural;Asia;Literature;Asian Literature;Biography Memoir,,Shanghai,7.444,0.25266597938144286
42.0,https://www.goodreads.com/book/show/20958256-you-can-t-make-this-up,"You Can't Make This Up: Miracles, Memories, and the Perfect Marriage of Sports and Television",Al Michaels,343,2411,3.89,304,2014,0,Sports;Sports;Nonfiction;Biography;Autobiography;Memoir;Biography;Autobiography;Audiobook;Biography Memoir;Sports;Baseball;History;Media Tie In;Tv,,,8.002,0.810665979381443
44.0,https://www.goodreads.com/book/show/22609487-ty-cobb,Ty Cobb: A Terrible Beauty,Charles Leerhsen,319,1448,4.28,404,2015,0,Sports;Baseball;Sports;Sports;Biography;Nonfiction;History;Biography Memoir;Audiobook;North American Hi...;American History;Literature;20th Century,2.0,,8.704,1.5126659793814432
45.0,https://www.goodreads.com/book/show/40642324-henry-viii,Henry VIII: And the Men Who Made Him,Tracy Borman,95,402,4.11,498,2019,0,History;Nonfiction;Biography;English History;Tudor Period;European Literature;British Literature;Historical;Politics;Adult;Literature;16th Century;History;Medieval History,,,8.398,1.2066659793814434
46.0,https://www.goodreads.com/book/show/44471190-ephphatha,Ephphatha: Growing up profoundly deaf and not dumb in the hearing world: a basketball player’s transformational journey to the ivy league,Thomas M. Caulfield,9,22,4.32,117,2019,0,Nonfiction,,,8.776,1.5846659793814433
47.0,https://www.goodreads.com/book/show/26767481-douglas-macarthur,Douglas MacArthur: American Warrior,Arthur Herman,67,351,4.46,937,2016,0,Biography;History;Nonfiction;War;World War II;North American Hi...;American History;War;Military Fiction;Military;Military History;War;War;World War I;Autobiography;Memoir,,,9.028,1.8366659793814426
48.0,https://www.goodreads.com/book/show/29139385-catherine-of-aragon,Catherine of Aragon: An Intimate Life of Henry VIII's True Wife,Amy Licence,24,79,4.46,534,2017,0,History;Biography;English History;Tudor Period;Nonfiction;Historical,,,9.028,1.8366659793814426
50.0,https://www.goodreads.com/book/show/42201517-you-can-t-fall-off-the-floor,You Can't Fall Off the Floor: And Other Lessons from a Life in Hollywood,Harris Katleman,21,67,3.72,224,2019,0,Biography;Business;Autobiography;Memoir;Nonfiction;Biography Memoir;Culture;Film,,,7.696,0.5046659793814432
51.0,https://www.goodreads.com/book/show/51265228-jump,JUMP!: An epic travel and soul adventure,Lenerd Louw,15,28,4.57,296,2019,0,,,,9.226,2.034665979381443
52.0,https://www.goodreads.com/book/show/25677302-swift-enough-to-endure-the-power-of-a-grandmother-s-love,"Swift Enough To Endure, The Power of a Grandmother's Love",Andronica Handie,0,7,5.0,135,2015,0,,,,10.0,2.808665979381443
53.0,https://www.goodreads.com/book/show/6408184-the-lady-queen,"The Lady Queen: The Notorious Reign of Joanna I, Queen of Naples, Jerusalem, and Sicily",Nancy  Goldstone,185,1539,3.9,365,2009,0,History;Biography;Nonfiction;Cultural;Italy;Historical;History;European History;Historical;Medieval;Literature;14th Century;Politics;History;Medieval History,,"Naples;Castel Nuovo, Naples;Castel dell'Ovo, Naples;…more;Avignon;Kingdom of Naples;Italy;France;…less",8.02,0.8286659793814426
54.0,https://www.goodreads.com/book/show/53438122-breaking-up-with-anxiety,Breaking Up with Anxiety: A Journey to Reclaim My Life,Whitney Rose,1,4,4.25,130,2020,0,,,,8.649999999999999,1.4586659793814427
55.0,https://www.goodreads.com/book/show/5509.Anne_Frank_Remembered,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies,909,65632,4.24,252,1988,0,Nonfiction;History;Biography;World War II;Holocaust;Autobiography;Memoir;Classics;War;World War II;Historical;War;Biography Memoir,1.0,,8.632000000000001,1.4406659793814431
56.0,https://www.goodreads.com/book/show/27310.Muhammad,Muhammad: A Biography of the Prophet,Karen Armstrong,359,6104,4.18,304,1993,0,Religion;Religion;Islam;Biography;History;Nonfiction;Spirituality;Philosophy;Biography Memoir;Religion;Theology;Religion;Faith,,,8.524000000000001,1.3326659793814422
57.0,https://www.goodreads.com/book/show/51239966-you-never-forget-your-first,You Never Forget Your First: A Biography of George Washington,Alexis Coe,1462,9737,3.76,261,2020,0,History;Nonfiction;Biography;Politics;Audiobook;North American Hi...;American History;Biography Memoir;Politics;Presidents;Historical;Adult,1.0,,7.768,0.5766659793814424
